Employee_ID,Name,Email,Phone,Department,Salary,Joining_Date,City,Performance_Score
EMP0002,Katherine Stein,fjordan@boone-lambert.biz,083.951.3635x338,Sales,41888,01-10-1973,Port Cheryl,1
EMP0003,Ricky Logan,fmason@yahoo.com,(674)290-3463x0942,Operations,71455.80986,,Lake Richardport,5
EMP0004,Virginia Hoffman,brittney61@hotmail.com,,HR,71455.80986,26-12-1974,Brianbury,2
EMP0005,Robert Walker,thomasthomas@yahoo.com,929-644-4375x58478,Operations,71455.80986,,Thomastown,4
EMP0006,Jessica Gill,nicolewashington@gmail.com,(111)574-4302x134,Sales,80372,,West Richard,5
EMP0007,Ashley Lyons,davidyoung@hotmail.com,001-353-018-4090x4523,Finance,63891,,East Randallbury,2
EMP0008,Stephanie Alvarez,amoreno@gmail.com,(699)254-2370x8773,Operations,71455.80986,,East Christopherburgh,5
EMP0009,Lisa Solis,jonesbenjamin@hotmail.com,960.869.0549x642,Operations,71455.80986,,North Richard,4
EMP0010,Connor Stewart,perezlisa@smith.com,(225)347-9251,IT,52727,,Hamptonville,3
EMP0011,Mark Brown,,374-074-2361x99964,IT,26310,,Lyonsville,4
EMP0014,Unknown,cgrimes@gmail.com,+1-616-715-2985x951,Sales,71455.80986,,Kaylafort,5
EMP0015,Colleen Nunez,michael77@yahoo.com,,IT,71455.80986,,Cynthialand,3
EMP0017,Danny Newton,mariebrown@gmail.com,,Sales,71455.80986,,Hallbury,2
EMP0018,Rachel Scott,,342.772.6657x95626,HR,71455.80986,,South Shanetown,1
EMP0020,Unknown,davislisa@chung-whitaker.info,+1-399-902-5297x0126,Sales,71455.80986,,Flowersfurt,5
EMP0021,Scott Clark,jonathanharris@roach-johnson.biz,087-635-2239x99855,Finance,71455.80986,,North Bryanport,2
EMP0023,Lori Cruz,davissteven@snyder.info,650.860.1923x59849,Finance,41198,26-01-1983,Davidbury,1
EMP0024,Barry Saunders,scott53@yahoo.com,-1719,Finance,71455.80986,21-02-1999,North Michelle,5
EMP0026,Katherine Hatfield,swright@hotmail.com,001-651-770-3456x2846,Finance,71455.80986,,South Anthony,2
EMP0027,Anne Brown,afranklin@hill.biz,398-713-8714,Finance,28022,26-02-2016,Vincentfort,1
EMP0028,Brandon Edwards,vrobinson@adams.biz,+1-772-487-4784x109,IT,35537,18-04-1981,South Davidfurt,2
EMP0029,Eric Miller,jenniferstevens@gmail.com,571-380-8876x8618,HR,71455.80986,,Woodville,5
EMP0030,Timothy Burnett,larryhicks@hotmail.com,762.653.3146x0026,Sales,68875,,Gonzalezbury,5
EMP0031,Caroline Meyer,matthewsmith@adams.net,277-753-2997,Finance,64673,,Adamsberg,5
EMP0032,Jacob Randall,psmith@hall-martin.com,+1-497-079-5168x7631,Sales,71455.80986,17-02-2007,Swansonville,4
EMP0033,Kathy Frazier,gdaniels@hanson.com,+1-232-616-9690x66214,HR,71455.80986,16-05-1988,Hodgesstad,3
EMP0034,Dillon Potts,rebeccamitchell@yahoo.com,5479953157,Finance,26972,,Port Dianabury,2
EMP0035,Kenneth Huff,etaylor@orr.com,298.404.3523,IT,45998,13-11-2019,Bishopburgh,2
EMP0036,David Franco,zmathis@yahoo.com,001-494-853-8666x92632,IT,104915,,Wangport,4
EMP0037,Christopher Smith,phillipsallison@thompson.net,300.612.5787,HR,71455.80986,,North Collinborough,1
EMP0039,Unknown,vpowell@yahoo.com,133.190.1704x968,IT,45148,25-02-1996,Waltonburgh,3
EMP0040,Krystal Evans,,074-621-2263x4483,Finance,71455.80986,,Lake Jared,1
EMP0042,Glenn Carlson,scole@yahoo.com,001-546-228-2524x645,Marketing,71455.80986,,Ronaldchester,4
EMP0043,Cheyenne Butler,dmoody@palmer-walker.com,001-510-728-2648x315,Marketing,71455.80986,,Miguelshire,5
EMP0044,Thomas Garcia,greenesamuel@vang-garcia.com,1349497788,HR,71455.80986,,New Allison,4
EMP0045,Mark Boyle,johnstondaniel@smith.com,+1-830-362-6808x40705,IT,71455.80986,08-07-1996,North John,3
EMP0046,Douglas Clark,walter42@osborne.com,929-630-2082,HR,111286,,Lake Donaldbury,3
EMP0047,Amy Clark,lbrown@gmail.com,001-324-001-2325x796,HR,71455.80986,,New Laurie,4
EMP0048,Jared Gomez,zmolina@hotmail.com,803-052-5784,Finance,71455.80986,,North Latashafurt,4
EMP0051,Jeremiah Reid,leeronald@gmail.com,(419)198-2003,HR,30800,,Davidside,3
EMP0052,Robert Miller,harveychad@yahoo.com,+1-438-643-9855x06861,Operations,71455.80986,21-09-1973,East Mackenzie,1
